"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.764539125×10^0,2.377664298×10^-2,2.752990928×10^-3,1.098265871×10^-3
2.774489125×10^0,1.510672271×10^-2,-1.750148251×10^-3,2.157937735×10^-3
2.784439125×10^0,9.316211566×10^-3,-4.014101345×10^-3,1.970984042×10^-3
2.794389125×10^0,2.695474541×10^-3,-3.598642070×10^-3,-1.980515663×10^-4
2.804339125×10^0,-4.710510373×10^-3,-3.410090227×10^-3,-2.328314120×10^-3
2.814289125×10^0,-4.657243378×10^-3,-5.673170090×10^-3,-1.979954541×10^-3
2.824238125×10^0,-1.044399105×10^-3,-4.016418010×10^-3,-8.300016634×10^-4
2.834188125×10^0,6.437154021×10^-3,-2.219534712×10^-3,-2.287690062×10^-3
2.844138125×10^0,1.284312271×10^-2,3.786451998×10^-4,-1.126551768×10^-3
2.854088125×10^0,1.855496503×10^-2,-2.296197694×10^-3,-3.708291333×10^-4
2.864038125×10^0,1.953154616×10^-2,-1.664762269×10^-3,-1.020374009×10^-3
2.873988125×10^0,1.774464920×10^-2,1.024818281×10^-3,5.711000413×10^-4
2.883938125×10^0,8.665399626×10^-3,1.606186270×10^-3,1.220911508×10^-3
2.893888125×10^0,-4.037290346×10^-4,1.916977228×10^-3,6.432717200×10^-4
2.903838125×10^0,-8.538886905×10^-3,3.951366059×10^-3,-3.101399634×10^-4
2.913788125×10^0,-1.306360774×10^-2,1.981734997×10^-3,5.366900004×10^-4
2.923737208×10^0,-1.174987108×10^-2,3.835028503×10^-3,-4.510763101×10^-4
2.933687208×10^0,-4.959508777×10^-3,2.523314673×10^-3,-2.927222289×10^-3
2.943637208×10^0,3.940243274×10^-3,1.785352943×10^-3,2.736309543×10^-4
2.953587208×10^0,8.520973846×10^-3,8.410060545×10^-4,-1.533298870×10^-3
2.963537208×10^0,1.360521466×10^-2,-1.323792385×10^-4,-2.578855958×10^-3
2.973487208×10^0,1.303015556×10^-2,-2.100510057×10^-3,-1.490923227×10^-3
2.983437208×10^0,1.519530546×10^-2,-1.150294207×10^-3,1.360019669×10^-4
2.993387208×10^0,1.566641778×10^-2,2.968676854×10^-4,1.401269576×10^-3
3.003337208×10^0,1.551674865×10^-2,-9.476274718×10^-4,1.828174340×10^-3
3.013286208×10^0,1.373472344×10^-2,1.324615791×10^-3,1.252850750×10^-3
3.023236208×10^0,1.213762537×10^-2,-9.433322120×10^-4,2.699479694×10^-3
3.033186208×10^0,1.479909569×10^-2,8.351163706×10^-4,-2.464147750×10^-3
3.043136208×10^0,1.946069300×10^-2,1.388521283×10^-3,-1.155204140×10^-3
3.053086208×10^0,2.167422324×10^-2,1.617883216×10^-3,-2.296374412×10^-3
3.063036208×10^0,2.478293143×10^-2,6.562157650×10^-4,-3.210371360×10^-3
3.072986208×10^0,2.342410199×10^-2,-1.464246539×10^-3,-2.613792894×10^-3
