"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.885609417×10^0,9.553635120×10^-2,7.934451848×10^-2,-1.564189643×10^-1
2.895559417×10^0,4.108509794×10^-2,1.158958748×10^-1,-2.049004883×10^-1
2.905509417×10^0,-1.058957353×10^-2,1.286594719×10^-1,-2.044428736×10^-1
2.915459417×10^0,-2.815525234×10^-2,7.734036446×10^-2,-1.728809625×10^-1
2.925410417×10^0,7.006449625×10^-3,6.458529737×10^-3,-1.328552067×10^-1
2.935360417×10^0,8.157469332×10^-2,-2.465464734×10^-2,-9.446334094×10^-2
2.945310417×10^0,1.865341663×10^-1,-9.093031287×10^-3,-5.358098820×10^-2
2.955260417×10^0,2.894059420×10^-1,-1.133967377×10^-2,-1.772977971×10^-2
2.965210417×10^0,3.712586462×10^-1,-5.002266541×10^-2,5.313514732×10^-3
2.975160417×10^0,4.199814498×10^-1,-1.234212518×10^-1,2.626194060×10^-2
2.985111417×10^0,4.295220673×10^-1,-1.899312437×10^-1,4.806940630×10^-2
2.995061417×10^0,4.152986407×10^-1,-1.829252690×10^-1,5.475846678×10^-2
3.005011417×10^0,3.845807910×10^-1,-1.160216928×10^-1,4.115066677×10^-2
3.014961417×10^0,3.414413333×10^-1,-2.951209992×10^-2,1.020287350×10^-2
3.024911417×10^0,2.945135236×10^-1,4.032081366×10^-2,-2.138414234×10^-2
3.034861417×10^0,2.683559656×10^-1,7.161828130×10^-2,-3.040293790×10^-2
3.044811417×10^0,2.721540034×10^-1,5.854247138×10^-2,-1.602615602×10^-2
3.054762417×10^0,3.252275884×10^-1,-1.397966594×10^-2,1.068588253×10^-2
3.064712417×10^0,4.092940986×10^-1,-1.237699687×10^-1,4.423826188×10^-2
